anchor_start,anchor_end,cause_start,cause_end,modifier,raw_line
B974,B974,B230,B238,,B230 - B238
B974,B974,B974,B974,,B974
B974,B974,C000,C969,,C000 - C969
B975,B975,B200,B206,,B200 - B206
B975,B975,B208,B208,,B208
B975,B975,B210,B222,,B210 - B222
B975,B975,B230,B238,,B230 - B238
B975,B975,B975,B975,,B975
B975,B975,C000,C969,,C000 - C969
B976,B976,B200,B206,,B200 - B206
B976,B976,B208,B208,,B208
B976,B976,B210,B222,,B210 - B222
B976,B976,B230,B238,,B230 - B238
B976,B976,B976,B976,,B976
B976,B976,C000,C969,,C000 - C969
B977,B977,B200,B206,,B200 - B206
B977,B977,B208,B208,,B208
B977,B977,B210,B222,,B210 - B222
B977,B977,B230,B238,,B230 - B238
B977,B977,B977,B977,,B977
B977,B977,C000,C969,,C000 - C969
B978,B978,B200,B206,,B200 - B206
B978,B978,B208,B208,,B208
B978,B978,B210,B222,,B210 - B222
B978,B978,B230,B238,,B230 - B238
B978,B978,B978,B978,,B978
B978,B978,C000,C969,,C000 - C969
B980,B980,B200,B206,,B200 - B206
B980,B980,B208,B208,,B208
B980,B980,B210,B222,,B210 - B222
B980,B980,B230,B238,,B230 - B238
